Runs,Fault Location (SVI),Fault Location (True),Fault Location (RMSE),Z_fault_real (SVI),Z_fault_real (True),Z_fault_real RMSE,Z_fault_imag (SVI),Z_fault_imag (True),Z_fault_imag RMSE,Is Bad Seed
1,0.5881001949310303,0.5916216373443604,0.003521442413330078,0.558922290802002,0.5311282873153687,0.0277940034866333,0.48600760102272034,0.45853307843208313,0.027474522590637207,False
2,0.4879460334777832,0.4971909821033478,0.009244948625564575,0.30805709958076477,0.30653178691864014,0.0015253126621246338,0.7037597894668579,0.6873583793640137,0.01640141010284424,False
3,0.5261850953102112,0.5255369544029236,0.0006481409072875977,0.7339586019515991,0.7304494380950928,0.0035091638565063477,0.6508814692497253,0.7138644456863403,0.06298297643661499,False
4,0.48000264167785645,0.4833904504776001,0.0033878087997436523,0.6119830012321472,0.6068834662437439,0.00509953498840332,0.34042108058929443,0.5970927476882935,0.256671667098999,False
5,0.5673763155937195,0.5597627758979797,0.007613539695739746,0.5122098922729492,0.5212404727935791,0.009030580520629883,0.7276979088783264,0.8252137899398804,0.09751588106155396,False
6,0.49549394845962524,0.5058714151382446,0.010377466678619385,0.6027758121490479,0.5740432739257812,0.0287325382232666,0.6088106632232666,0.6734670996665955,0.06465643644332886,False
7,0.43546563386917114,0.4343370795249939,0.001128554344177246,0.7068925499916077,0.6919940710067749,0.014898478984832764,0.7845104336738586,0.7411132454872131,0.04339718818664551,False
8,0.5530005693435669,0.5526477098464966,0.0003528594970703125,0.5566301941871643,0.5599036812782288,0.003273487091064453,0.2975856065750122,0.3810531795024872,0.08346757292747498,False
9,0.7148757576942444,0.7044554948806763,0.010420262813568115,0.6974666118621826,0.713542103767395,0.016075491905212402,0.3974490463733673,0.4560140371322632,0.058564990758895874,False
10,0.45228832960128784,0.4494110941886902,0.0028772354125976562,0.28620249032974243,0.27276715636253357,0.013435333967208862,0.24768513441085815,0.25039130449295044,0.002706170082092285,False
11,0.6103017330169678,0.610593855381012,0.00029212236404418945,0.4701777994632721,0.4634818434715271,0.006695955991744995,0.5260615348815918,0.628710925579071,0.10264939069747925,False
12,0.74410080909729,0.7615042924880981,0.017403483390808105,0.4912051856517792,0.4991503953933716,0.007945209741592407,0.5496862530708313,0.5339658856391907,0.015720367431640625,False
13,0.5739248991012573,0.5855393409729004,0.011614441871643066,0.615101158618927,0.5503504872322083,0.06475067138671875,0.5945977568626404,0.7245625853538513,0.12996482849121094,False
14,0.289404958486557,0.28098824620246887,0.008416712284088135,0.40705567598342896,0.41123080253601074,0.004175126552581787,0.36524927616119385,0.4390009641647339,0.07375168800354004,False
15,0.5539810657501221,0.5438079833984375,0.01017308235168457,0.5986581444740295,0.6355285048484802,0.036870360374450684,0.415969580411911,0.4988931119441986,0.0829235315322876,False
16,0.3315522074699402,0.32747676968574524,0.004075437784194946,0.5458179712295532,0.5857412219047546,0.039923250675201416,0.4479598104953766,0.31449463963508606,0.13346517086029053,False
17,0.7434806823730469,0.7235437035560608,0.019936978816986084,0.41977789998054504,0.44628486037254333,0.02650696039199829,0.3600377142429352,0.3056659698486328,0.05437174439430237,False
18,0.5233579277992249,0.5136194825172424,0.009738445281982422,0.6023327708244324,0.6328850984573364,0.030552327632904053,0.7224576473236084,0.7935448884963989,0.07108724117279053,False
19,0.39992770552635193,0.3791075050830841,0.020820200443267822,0.7810438275337219,0.8089934587478638,0.027949631214141846,0.5057892799377441,0.5552375912666321,0.04944831132888794,False
20,0.3577756881713867,0.35880792140960693,0.0010322332382202148,0.3453947901725769,0.34031352400779724,0.005081266164779663,0.25721460580825806,0.1972699910402298,0.05994461476802826,False
21,0.5561978816986084,0.5596422553062439,0.003444373607635498,0.5053369998931885,0.4917168915271759,0.013620108366012573,0.21054208278656006,0.2025216817855835,0.008020401000976562,False
22,0.5486484169960022,0.5446908473968506,0.003957569599151611,0.30826592445373535,0.3204549551010132,0.012189030647277832,0.3120332658290863,0.3126365542411804,0.0006032884120941162,False
23,0.6252268552780151,0.6234424114227295,0.0017844438552856445,0.2026454657316208,0.19780786335468292,0.004837602376937866,0.6042064428329468,0.6037551760673523,0.0004512667655944824,False
24,0.5880850553512573,0.5668929815292358,0.021192073822021484,0.7277845144271851,0.7428398132324219,0.015055298805236816,0.719045102596283,0.6347579956054688,0.08428710699081421,False
25,0.6342650651931763,0.6376368999481201,0.0033718347549438477,0.24649374186992645,0.260996550321579,0.014502808451652527,0.5580310821533203,0.589069128036499,0.03103804588317871,False
26,0.5726274847984314,0.5739744901657104,0.0013470053672790527,0.3468274176120758,0.3511849045753479,0.004357486963272095,0.5960325598716736,0.6295069456100464,0.0334743857383728,False
27,0.4272729456424713,0.4145442247390747,0.012728720903396606,0.7792824506759644,0.8622002601623535,0.08291780948638916,0.4729996621608734,0.5344936847686768,0.061494022607803345,False
28,0.4281310439109802,0.41950908303260803,0.008621960878372192,0.4515363872051239,0.4765046238899231,0.024968236684799194,0.5066748261451721,0.5568450093269348,0.050170183181762695,False
29,0.7462811470031738,0.7703632712364197,0.02408212423324585,0.6446616649627686,0.6379531621932983,0.006708502769470215,0.6058269143104553,0.5624172687530518,0.043409645557403564,False
30,0.5526794791221619,0.552960991859436,0.0002815127372741699,0.45071807503700256,0.45207688212394714,0.00135880708694458,0.5215479135513306,0.539267361164093,0.01771944761276245,False
31,0.5243155360221863,0.531122624874115,0.006807088851928711,0.5047019124031067,0.5063630938529968,0.0016611814498901367,0.47559794783592224,0.5657825469970703,0.09018459916114807,False
32,0.5533395409584045,0.552312433719635,0.0010271072387695312,0.4370609521865845,0.42062145471572876,0.016439497470855713,0.4442519247531891,0.3986477851867676,0.04560413956642151,False
33,0.5636702179908752,0.5667816400527954,0.003111422061920166,0.4213533103466034,0.40636739134788513,0.014985918998718262,0.42802104353904724,0.40487435460090637,0.02314668893814087,False
