Runs,Fault Location (SVI),Fault Location (True),Fault Location (RMSE),Z_fault_real (SVI),Z_fault_real (True),Z_fault_real RMSE,Z_fault_imag (SVI),Z_fault_imag (True),Z_fault_imag RMSE
1,0.5220052003860474,0.5916216373443604,0.06961643695831299,0.526280403137207,0.5311282873153687,0.004847884178161621,0.5162358283996582,0.45853307843208313,0.05770274996757507
2,0.45975449681282043,0.4971909821033478,0.037436485290527344,0.4850877523422241,0.30653178691864014,0.17855596542358398,0.4949899911880493,0.6873583793640137,0.19236838817596436
3,0.5092669129371643,0.5255369544029236,0.016270041465759277,0.5111109614372253,0.7304494380950928,0.21933847665786743,0.502745509147644,0.7138644456863403,0.2111189365386963
4,0.4938196539878845,0.4833904504776001,0.010429203510284424,0.5036095380783081,0.6068834662437439,0.10327392816543579,0.5012803673744202,0.5970927476882935,0.09581238031387329
5,0.533359944820404,0.5597627758979797,0.026402831077575684,0.5089590549468994,0.5212404727935791,0.012281417846679688,0.5256885290145874,0.8252137899398804,0.29952526092529297
6,0.48250675201416016,0.5058714151382446,0.023364663124084473,0.5144748091697693,0.5740432739257812,0.05956846475601196,0.503569483757019,0.6734670996665955,0.16989761590957642
