Runs,Fault Location (SVI),Fault Location (True),Fault Location (RMSE),Z_fault_real (SVI),Z_fault_real (True),Z_fault_real RMSE,Z_fault_imag (SVI),Z_fault_imag (True),Z_fault_imag RMSE
1,0.622405469417572,0.5916216373443604,0.03078383207321167,0.5794569253921509,0.5311282873153687,0.04832863807678223,0.4758991003036499,0.45853307843208313,0.017366021871566772
2,0.43344223499298096,0.4971909821033478,0.06374874711036682,0.40827447175979614,0.30653178691864014,0.101742684841156,0.5431485176086426,0.6873583793640137,0.1442098617553711
3,0.5724025368690491,0.5255369544029236,0.04686558246612549,0.6454548835754395,0.7304494380950928,0.08499455451965332,0.5012162923812866,0.7138644456863403,0.2126481533050537
4,0.451600044965744,0.4833904504776001,0.03179040551185608,0.5764375925064087,0.6068834662437439,0.030445873737335205,0.42225170135498047,0.5970927476882935,0.174841046333313
5,0.5815195441246033,0.5597627758979797,0.021756768226623535,0.4839501976966858,0.5212404727935791,0.03729027509689331,0.5197852849960327,0.8252137899398804,0.30542850494384766
6,0.4744262099266052,0.5058714151382446,0.031445205211639404,0.6175347566604614,0.5740432739257812,0.043491482734680176,0.5175473093986511,0.6734670996665955,0.15591979026794434
7,0.45601844787597656,0.4343370795249939,0.021681368350982666,0.643153190612793,0.6919940710067749,0.048840880393981934,0.5693685412406921,0.7411132454872131,0.171744704246521
8,0.551406741142273,0.5526477098464966,0.0012409687042236328,0.5704023838043213,0.5599036812782288,0.01049870252609253,0.44383299350738525,0.3810531795024872,0.06277981400489807
9,0.6678048968315125,0.7044554948806763,0.03665059804916382,0.6341100931167603,0.713542103767395,0.07943201065063477,0.512193500995636,0.4560140371322632,0.0561794638633728
10,0.46931755542755127,0.4494110941886902,0.019906461238861084,0.5460938215255737,0.27276715636253357,0.27332666516304016,0.4786710739135742,0.25039130449295044,0.22827976942062378
11,0.6088932156562805,0.610593855381012,0.0017006397247314453,0.5468592643737793,0.4634818434715271,0.0833774209022522,0.4924524426460266,0.628710925579071,0.13625848293304443
13,0.6284269094467163,0.5855393409729004,0.04288756847381592,0.4710826575756073,0.5503504872322083,0.07926782965660095,0.5194495320320129,0.7245625853538513,0.20511305332183838
14,0.2722439467906952,0.28098824620246887,0.008744299411773682,0.6166182160377502,0.41123080253601074,0.2053874135017395,0.4701254963874817,0.4390009641647339,0.031124532222747803
15,0.5885818004608154,0.5438079833984375,0.04477381706237793,0.5298260450363159,0.6355285048484802,0.1057024598121643,0.45098480582237244,0.4988931119441986,0.04790830612182617
16,0.28856632113456726,0.32747676968574524,0.03891044855117798,0.4108685553073883,0.5857412219047546,0.17487266659736633,0.5565655827522278,0.31449463963508606,0.24207094311714172
18,0.4479464292526245,0.5136194825172424,0.06567305326461792,0.4970354437828064,0.6328850984573364,0.13584965467453003,0.5591820478439331,0.7935448884963989,0.23436284065246582
19,0.4861585199832916,0.3791075050830841,0.10705101490020752,0.5228942036628723,0.8089934587478638,0.28609925508499146,0.565639317035675,0.5552375912666321,0.010401725769042969
20,0.34581249952316284,0.35880792140960693,0.012995421886444092,0.3539440631866455,0.34031352400779724,0.013630539178848267,0.5309829115867615,0.1972699910402298,0.3337129205465317
21,0.5954476594924927,0.5596422553062439,0.03580540418624878,0.5197752714157104,0.4917168915271759,0.028058379888534546,0.5185317993164062,0.2025216817855835,0.31601011753082275
22,0.5323797464370728,0.5446908473968506,0.012311100959777832,0.48787352442741394,0.3204549551010132,0.16741856932640076,0.5180785059928894,0.3126365542411804,0.20544195175170898
23,0.5897814035415649,0.6234424114227295,0.03366100788116455,0.3150448799133301,0.19780786335468292,0.11723701655864716,0.48936617374420166,0.6037551760673523,0.11438900232315063
24,0.6090716123580933,0.5668929815292358,0.04217863082885742,0.5826424956321716,0.7428398132324219,0.16019731760025024,0.5002346038818359,0.6347579956054688,0.1345233917236328
25,0.607302188873291,0.6376368999481201,0.0303347110748291,0.43732643127441406,0.260996550321579,0.17632988095283508,0.45987263321876526,0.589069128036499,0.12919649481773376
26,0.6085872650146484,0.5739744901657104,0.03461277484893799,0.4712972044944763,0.3511849045753479,0.12011229991912842,0.5462815761566162,0.6295069456100464,0.08322536945343018
27,0.463784396648407,0.4145442247390747,0.049240171909332275,0.387388676404953,0.8622002601623535,0.4748115837574005,0.5055761933326721,0.5344936847686768,0.02891749143600464
28,0.3439137935638428,0.41950908303260803,0.07559528946876526,0.38827845454216003,0.4765046238899231,0.08822616934776306,0.467239648103714,0.5568450093269348,0.08960536122322083
30,0.5341666340827942,0.552960991859436,0.018794357776641846,0.5081565380096436,0.45207688212394714,0.05607965588569641,0.46899348497390747,0.539267361164093,0.07027387619018555
31,0.5132818222045898,0.531122624874115,0.017840802669525146,0.4918305277824402,0.5063630938529968,0.01453256607055664,0.4789780080318451,0.5657825469970703,0.08680453896522522
32,0.5917263627052307,0.552312433719635,0.0394139289855957,0.5286040306091309,0.42062145471572876,0.1079825758934021,0.5161771774291992,0.3986477851867676,0.11752939224243164
33,0.6378430128097534,0.5667816400527954,0.07106137275695801,0.4581242799758911,0.40636739134788513,0.05175688862800598,0.5026602745056152,0.40487435460090637,0.09778591990470886
34,0.3582175076007843,0.35786500573158264,0.00035250186920166016,0.2819017767906189,0.3474966585636139,0.065594881772995,0.45421579480171204,0.41723597049713135,0.03697982430458069
35,0.5967769622802734,0.6817017793655396,0.08492481708526611,0.5409430265426636,0.31763267517089844,0.22331035137176514,0.5002604126930237,0.8335134387016296,0.33325302600860596
36,0.43327683210372925,0.4635372757911682,0.030260443687438965,0.6075945496559143,0.5503111481666565,0.05728340148925781,0.4713267683982849,0.5077354907989502,0.03640872240066528
37,0.484346479177475,0.5106741786003113,0.026327699422836304,0.5452550053596497,0.6777185797691345,0.13246357440948486,0.519263744354248,0.7390530705451965,0.2197893261909485
38,0.3967955708503723,0.4422186017036438,0.045423030853271484,0.36285221576690674,0.3537774384021759,0.009074777364730835,0.5133781433105469,0.44101378321647644,0.07236436009407043
39,0.4017220437526703,0.38818642497062683,0.013535618782043457,0.6196748614311218,0.41877448558807373,0.2009003758430481,0.5016165375709534,0.4094962179660797,0.09212031960487366
41,0.5279367566108704,0.5024519562721252,0.025484800338745117,0.650103747844696,0.7137770056724548,0.06367325782775879,0.4695882201194763,0.3474280536174774,0.1221601665019989
42,0.38789933919906616,0.42473411560058594,0.036834776401519775,0.514272928237915,0.28462183475494385,0.2296510934829712,0.5273357629776001,0.6564942002296448,0.12915843725204468
45,0.5137553215026855,0.49495166540145874,0.018803656101226807,0.5957972407341003,0.6474680304527283,0.05167078971862793,0.5037943720817566,0.3493668735027313,0.15442749857902527
46,0.43900245428085327,0.45680755376815796,0.017805099487304688,0.5084648728370667,0.3917248249053955,0.11674004793167114,0.594845712184906,0.7488570809364319,0.15401136875152588
47,0.36657166481018066,0.5282301306724548,0.16165846586227417,0.5974316596984863,0.5940656065940857,0.0033660531044006348,0.46490755677223206,0.6580082774162292,0.1931007206439972
49,0.37405526638031006,0.3804551661014557,0.00639989972114563,0.34123802185058594,0.300470769405365,0.04076725244522095,0.5568834543228149,0.700202226638794,0.143318772315979
50,0.5973173379898071,0.5889087319374084,0.008408606052398682,0.5736842751502991,0.6983614563941956,0.12467718124389648,0.49563440680503845,0.3221185803413391,0.17351582646369934
51,0.6116479635238647,0.6004425287246704,0.011205434799194336,0.5624696612358093,0.5115163326263428,0.05095332860946655,0.48028844594955444,0.44631636142730713,0.033972084522247314
52,0.4608718752861023,0.46213823556900024,0.0012663602828979492,0.6088052988052368,0.5994312167167664,0.009374082088470459,0.4625832438468933,0.5668877363204956,0.1043044924736023
53,0.28413125872612,0.29335394501686096,0.009222686290740967,0.44248947501182556,0.46388480067253113,0.021395325660705566,0.4751676917076111,0.33239835500717163,0.14276933670043945
54,0.683817982673645,0.6317927837371826,0.0520251989364624,0.626731276512146,0.5297464728355408,0.09698480367660522,0.4897781014442444,0.3980761766433716,0.0917019248008728
55,0.5694210529327393,0.5950921177864075,0.025671064853668213,0.5008907914161682,0.6340508460998535,0.1331600546836853,0.5236340761184692,0.5214481353759766,0.0021859407424926758
56,0.6525554656982422,0.6677471399307251,0.01519167423248291,0.5086880326271057,0.46783769130706787,0.04085034132003784,0.49216824769973755,0.67206871509552,0.17990046739578247
57,0.615167498588562,0.6493657231330872,0.034198224544525146,0.43578091263771057,0.30652451515197754,0.12925639748573303,0.44896742701530457,0.26949694752693176,0.1794704794883728
58,0.6031290888786316,0.6342082619667053,0.03107917308807373,0.4721273183822632,0.39402157068252563,0.07810574769973755,0.480467289686203,0.6131309270858765,0.13266363739967346
59,0.47236868739128113,0.47129371762275696,0.00107496976852417,0.5496733784675598,0.4466758370399475,0.1029975414276123,0.4657439887523651,0.46392908692359924,0.0018149018287658691
60,0.5991371870040894,0.6494356393814087,0.050298452377319336,0.6031666994094849,0.6316456198692322,0.028478920459747314,0.496627539396286,0.6385034918785095,0.1418759524822235
61,0.28407320380210876,0.29319387674331665,0.009120672941207886,0.2939070165157318,0.2628735601902008,0.031033456325531006,0.4266411066055298,0.19650481641292572,0.23013629019260406
62,0.5437472462654114,0.6470642685890198,0.1033170223236084,0.5933821797370911,0.7771236300468445,0.18374145030975342,0.4885745346546173,0.6636180877685547,0.17504355311393738
63,0.6129937767982483,0.6150096654891968,0.0020158886909484863,0.43714550137519836,0.40914422273635864,0.02800127863883972,0.46427422761917114,0.6114497780799866,0.14717555046081543
65,0.5017932653427124,0.5486828684806824,0.04688960313796997,0.6593868136405945,0.7089402675628662,0.04955345392227173,0.5004438161849976,0.5629287958145142,0.0624849796295166
66,0.39732998609542847,0.4826853275299072,0.08535534143447876,0.5020837187767029,0.4427211582660675,0.059362560510635376,0.4987211227416992,0.46624457836151123,0.03247654438018799
68,0.38496726751327515,0.3453826606273651,0.039584606885910034,0.5260385274887085,0.5403695702552795,0.014331042766571045,0.47724562883377075,0.26820123195648193,0.20904439687728882
