Runs,Fault Location (SVI),Fault Location (True),Fault Location (RMSE),Z_fault_real (SVI),Z_fault_real (True),Z_fault_real RMSE,Z_fault_imag (SVI),Z_fault_imag (True),Z_fault_imag RMSE
1,0.6158396601676941,0.5916216373443604,0.02421802282333374,0.5887880921363831,0.5311282873153687,0.057659804821014404,0.4706348478794098,0.45853307843208313,0.01210176944732666
2,0.4670729637145996,0.4971909821033478,0.03011801838874817,0.34875616431236267,0.30653178691864014,0.042224377393722534,0.6106626987457275,0.6873583793640137,0.07669568061828613
3,0.5292308330535889,0.5255369544029236,0.003693878650665283,0.6864559650421143,0.7304494380950928,0.043993473052978516,0.5163710713386536,0.7138644456863403,0.19749337434768677
4,0.46978211402893066,0.4833904504776001,0.013608336448669434,0.6075917482376099,0.6068834662437439,0.0007082819938659668,0.38244253396987915,0.5970927476882935,0.2146502137184143
5,0.5693386197090149,0.5597627758979797,0.009575843811035156,0.4933384656906128,0.5212404727935791,0.02790200710296631,0.5188652873039246,0.8252137899398804,0.3063485026359558
6,0.4906407296657562,0.5058714151382446,0.015230685472488403,0.6563541293144226,0.5740432739257812,0.08231085538864136,0.4991578757762909,0.6734670996665955,0.17430922389030457
7,0.44592025876045227,0.4343370795249939,0.011583179235458374,0.685985267162323,0.6919940710067749,0.006008803844451904,0.608167290687561,0.7411132454872131,0.1329459547996521
8,0.5561360120773315,0.5526477098464966,0.003488302230834961,0.5730414986610413,0.5599036812782288,0.0131378173828125,0.4352923035621643,0.3810531795024872,0.054239124059677124
9,0.6958068013191223,0.7044554948806763,0.008648693561553955,0.6673627495765686,0.713542103767395,0.046179354190826416,0.48083677887916565,0.4560140371322632,0.024822741746902466
10,0.4640365242958069,0.4494110941886902,0.0146254301071167,0.3962385654449463,0.27276715636253357,0.12347140908241272,0.3953399062156677,0.25039130449295044,0.14494860172271729
11,0.614356517791748,0.610593855381012,0.003762662410736084,0.5374529361724854,0.4634818434715271,0.07397109270095825,0.4921587109565735,0.628710925579071,0.13655221462249756
13,0.6346110105514526,0.5855393409729004,0.049071669578552246,0.4753766655921936,0.5503504872322083,0.07497382164001465,0.5420976877212524,0.7245625853538513,0.18246489763259888
14,0.27067166566848755,0.28098824620246887,0.010316580533981323,0.551091730594635,0.41123080253601074,0.13986092805862427,0.46432891488075256,0.4390009641647339,0.025327950716018677
15,0.5522918701171875,0.5438079833984375,0.00848388671875,0.5668701529502869,0.6355285048484802,0.06865835189819336,0.4284537434577942,0.4988931119441986,0.07043936848640442
16,0.2950097322463989,0.32747676968574524,0.032467037439346313,0.44436755776405334,0.5857412219047546,0.1413736641407013,0.5608936548233032,0.31449463963508606,0.24639901518821716
18,0.4908437430858612,0.5136194825172424,0.022775739431381226,0.5268720984458923,0.6328850984573364,0.10601300001144409,0.5988784432411194,0.7935448884963989,0.19466644525527954
19,0.4380086660385132,0.3791075050830841,0.05890116095542908,0.6203899383544922,0.8089934587478638,0.18860352039337158,0.5909041166305542,0.5552375912666321,0.03566652536392212
20,0.34022584557533264,0.35880792140960693,0.018582075834274292,0.3419683575630188,0.34031352400779724,0.0016548335552215576,0.5172314643859863,0.1972699910402298,0.31996147334575653
21,0.5683860182762146,0.5596422553062439,0.008743762969970703,0.5170696973800659,0.4917168915271759,0.025352805852890015,0.5137850642204285,0.2025216817855835,0.31126338243484497
22,0.5387883186340332,0.5446908473968506,0.005902528762817383,0.40175366401672363,0.3204549551010132,0.08129870891571045,0.499637246131897,0.3126365542411804,0.18700069189071655
23,0.5982224941253662,0.6234424114227295,0.02521991729736328,0.23867635428905487,0.19780786335468292,0.04086849093437195,0.5284321904182434,0.6037551760673523,0.07532298564910889
24,0.6038417220115662,0.5668929815292358,0.03694874048233032,0.6225729584693909,0.7428398132324219,0.120266854763031,0.5008041858673096,0.6347579956054688,0.13395380973815918
25,0.6131073236465454,0.6376368999481201,0.024529576301574707,0.34423816204071045,0.260996550321579,0.08324161171913147,0.4706342816352844,0.589069128036499,0.1184348464012146
26,0.6064793467521667,0.5739744901657104,0.0325048565864563,0.4139026701450348,0.3511849045753479,0.06271776556968689,0.5882036685943604,0.6295069456100464,0.041303277015686035
27,0.467642605304718,0.4145442247390747,0.05309838056564331,0.4585573375225067,0.8622002601623535,0.4036429226398468,0.5169079303741455,0.5344936847686768,0.01758575439453125
28,0.35482528805732727,0.41950908303260803,0.06468379497528076,0.4226539731025696,0.4765046238899231,0.053850650787353516,0.4831730127334595,0.5568450093269348,0.07367199659347534
30,0.5419341325759888,0.552960991859436,0.011026859283447266,0.47937318682670593,0.45207688212394714,0.02729630470275879,0.4624890089035034,0.539267361164093,0.0767783522605896
31,0.519592821598053,0.531122624874115,0.011529803276062012,0.48480212688446045,0.5063630938529968,0.021560966968536377,0.4679329991340637,0.5657825469970703,0.09784954786300659
32,0.5616704225540161,0.552312433719635,0.009357988834381104,0.4832233786582947,0.42062145471572876,0.06260192394256592,0.5259286761283875,0.3986477851867676,0.12728089094161987
33,0.6359899044036865,0.5667816400527954,0.06920826435089111,0.3968043029308319,0.40636739134788513,0.009563088417053223,0.485348641872406,0.40487435460090637,0.08047428727149963
34,0.35409605503082275,0.35786500573158264,0.0037689507007598877,0.29795628786087036,0.3474966585636139,0.04954037070274353,0.44760119915008545,0.41723597049713135,0.0303652286529541
35,0.6421205997467041,0.6817017793655396,0.03958117961883545,0.49760890007019043,0.31763267517089844,0.179976224899292,0.5463873744010925,0.8335134387016296,0.2871260643005371
36,0.4398956596851349,0.4635372757911682,0.023641616106033325,0.6150421500205994,0.5503111481666565,0.06473100185394287,0.48732489347457886,0.5077354907989502,0.020410597324371338
37,0.5158843398094177,0.5106741786003113,0.005210161209106445,0.5585107803344727,0.6777185797691345,0.11920779943466187,0.5202676057815552,0.7390530705451965,0.21878546476364136
38,0.42074769735336304,0.4422186017036438,0.02147090435028076,0.3481121063232422,0.3537774384021759,0.005665332078933716,0.49805182218551636,0.44101378321647644,0.05703803896903992
39,0.3921375274658203,0.38818642497062683,0.0039511024951934814,0.5755117535591125,0.41877448558807373,0.15673726797103882,0.489749550819397,0.4094962179660797,0.08025333285331726
41,0.5206093192100525,0.5024519562721252,0.018157362937927246,0.698516845703125,0.7137770056724548,0.015260159969329834,0.4673633873462677,0.3474280536174774,0.11993533372879028
42,0.3990207314491272,0.42473411560058594,0.02571338415145874,0.4186893403530121,0.28462183475494385,0.13406750559806824,0.5572003722190857,0.6564942002296448,0.09929382801055908
45,0.5003852248191833,0.49495166540145874,0.005433559417724609,0.6071388125419617,0.6474680304527283,0.0403292179107666,0.5119652152061462,0.3493668735027313,0.16259834170341492
46,0.4432584345340729,0.45680755376815796,0.013549119234085083,0.4533995985984802,0.3917248249053955,0.06167477369308472,0.6792874336242676,0.7488570809364319,0.0695696473121643
47,0.4911069869995117,0.5282301306724548,0.037123143672943115,0.627439558506012,0.5940656065940857,0.03337395191192627,0.4576770067214966,0.6580082774162292,0.20033127069473267
49,0.3660351037979126,0.3804551661014557,0.01442006230354309,0.3162640333175659,0.300470769405365,0.015793263912200928,0.6107406616210938,0.700202226638794,0.0894615650177002
50,0.6027200818061829,0.5889087319374084,0.013811349868774414,0.5991675853729248,0.6983614563941956,0.09919387102127075,0.48192930221557617,0.3221185803413391,0.15981072187423706
51,0.6118798851966858,0.6004425287246704,0.01143735647201538,0.5571799874305725,0.5115163326263428,0.045663654804229736,0.4710870385169983,0.44631636142730713,0.024770677089691162
52,0.4606485664844513,0.46213823556900024,0.0014896690845489502,0.6288829445838928,0.5994312167167664,0.029451727867126465,0.4402923882007599,0.5668877363204956,0.12659534811973572
