Runs,Fault Location (SVI),Fault Location (True),Fault Location (RMSE),Z_fault_real (SVI),Z_fault_real (True),Z_fault_real RMSE,Z_fault_imag (SVI),Z_fault_imag (True),Z_fault_imag RMSE,Is Bad Seed
1,0.6081153750419617,0.5916216373443604,0.01649373769760132,0.5563185214996338,0.5311282873153687,0.025190234184265137,0.436149001121521,0.45853307843208313,0.022384077310562134,False
2,0.4935743808746338,0.4971909821033478,0.0036166012287139893,0.3087273836135864,0.30653178691864014,0.002195596694946289,0.7042815685272217,0.6873583793640137,0.016923189163208008,False
3,0.5247461199760437,0.5255369544029236,0.0007908344268798828,0.7355952858924866,0.7304494380950928,0.005145847797393799,0.6453378200531006,0.7138644456863403,0.06852662563323975,False
4,0.481197714805603,0.4833904504776001,0.0021927356719970703,0.615699291229248,0.6068834662437439,0.00881582498550415,0.34722232818603516,0.5970927476882935,0.2498704195022583,False
5,0.5612006187438965,0.5597627758979797,0.001437842845916748,0.5082069039344788,0.5212404727935791,0.013033568859100342,0.7000208497047424,0.8252137899398804,0.12519294023513794,False
6,0.49965566396713257,0.5058714151382446,0.0062157511711120605,0.6113611459732056,0.5740432739257812,0.037317872047424316,0.6124077439308167,0.6734670996665955,0.06105935573577881,False
7,0.43466508388519287,0.4343370795249939,0.0003280043601989746,0.7059760689735413,0.6919940710067749,0.013981997966766357,0.7842587828636169,0.7411132454872131,0.04314553737640381,False
8,0.5523463487625122,0.5526477098464966,0.000301361083984375,0.5601727962493896,0.5599036812782288,0.00026911497116088867,0.2929318845272064,0.3810531795024872,0.08812129497528076,False
9,0.7050389647483826,0.7044554948806763,0.0005834698677062988,0.7319629192352295,0.713542103767395,0.018420815467834473,0.49943313002586365,0.4560140371322632,0.043419092893600464,False
10,0.4523763954639435,0.4494110941886902,0.002965301275253296,0.28283005952835083,0.27276715636253357,0.01006290316581726,0.24811038374900818,0.25039130449295044,0.0022809207439422607,False
11,0.6126092076301575,0.610593855381012,0.002015352249145508,0.47855374217033386,0.4634818434715271,0.015071898698806763,0.5672273635864258,0.628710925579071,0.061483561992645264,False
12,0.48105815052986145,0.7615042924880981,0.2804461419582367,0.7730676531791687,0.4991503953933716,0.2739172577857971,0.8886232376098633,0.5339658856391907,0.3546573519706726,True
13,0.6006836891174316,0.5855393409729004,0.01514434814453125,0.6206464171409607,0.5503504872322083,0.07029592990875244,0.5573090314865112,0.7245625853538513,0.1672535538673401,False
14,0.28373652696609497,0.28098824620246887,0.0027482807636260986,0.42366501688957214,0.41123080253601074,0.012434214353561401,0.39045438170433044,0.4390009641647339,0.04854658246040344,False
15,0.544028639793396,0.5438079833984375,0.0002206563949584961,0.6025670766830444,0.6355285048484802,0.03296142816543579,0.40314435958862305,0.4988931119441986,0.09574875235557556,False
16,0.33036041259765625,0.32747676968574524,0.0028836429119110107,0.5621885657310486,0.5857412219047546,0.023552656173706055,0.41416609287261963,0.31449463963508606,0.09967145323753357,False
17,0.5200949311256409,0.7235437035560608,0.20344877243041992,0.6679887771606445,0.44628486037254333,0.2217039167881012,0.8784369230270386,0.3056659698486328,0.5727709531784058,True
18,0.5165088176727295,0.5136194825172424,0.0028893351554870605,0.6062148213386536,0.6328850984573364,0.02667027711868286,0.7217059135437012,0.7935448884963989,0.07183897495269775,False
19,0.38727644085884094,0.3791075050830841,0.008168935775756836,0.8041836023330688,0.8089934587478638,0.004809856414794922,0.46351754665374756,0.5552375912666321,0.09172004461288452,False
20,0.35770100355148315,0.35880792140960693,0.0011069178581237793,0.343552827835083,0.34031352400779724,0.0032393038272857666,0.24563732743263245,0.1972699910402298,0.04836733639240265,False
21,0.557623028755188,0.5596422553062439,0.002019226551055908,0.5081561207771301,0.4917168915271759,0.016439229249954224,0.24516171216964722,0.2025216817855835,0.04264003038406372,False
22,0.5436676144599915,0.5446908473968506,0.0010232329368591309,0.3171616494655609,0.3204549551010132,0.0032933056354522705,0.32018494606018066,0.3126365542411804,0.007548391819000244,False
23,0.6175950765609741,0.6234424114227295,0.005847334861755371,0.20471584796905518,0.19780786335468292,0.006907984614372253,0.5834674835205078,0.6037551760673523,0.020287692546844482,False
24,0.5889423489570618,0.5668929815292358,0.022049367427825928,0.7161831855773926,0.7428398132324219,0.026656627655029297,0.5938134789466858,0.6347579956054688,0.04094451665878296,False
25,0.6383599638938904,0.6376368999481201,0.0007230639457702637,0.24615919589996338,0.260996550321579,0.0148373544216156,0.5482512712478638,0.589069128036499,0.040817856788635254,False
26,0.5736163258552551,0.5739744901657104,0.00035816431045532227,0.3562752306461334,0.3511849045753479,0.0050903260707855225,0.5639094114303589,0.6295069456100464,0.0655975341796875,False
27,0.409721314907074,0.4145442247390747,0.004822909832000732,0.7958983182907104,0.8622002601623535,0.06630194187164307,0.4705430567264557,0.5344936847686768,0.06395062804222107,False
28,0.43521809577941895,0.41950908303260803,0.015709012746810913,0.4587969183921814,0.4765046238899231,0.0177077054977417,0.5201412439346313,0.5568450093269348,0.03670376539230347,False
29,0.5135321617126465,0.7703632712364197,0.2568311095237732,0.841076672077179,0.6379531621932983,0.20312350988388062,0.8771354556083679,0.5624172687530518,0.31471818685531616,True
30,0.5554957389831543,0.552960991859436,0.0025347471237182617,0.4495471715927124,0.45207688212394714,0.002529710531234741,0.5303470492362976,0.539267361164093,0.00892031192779541,False
31,0.5274675488471985,0.531122624874115,0.003655076026916504,0.5120353698730469,0.5063630938529968,0.005672276020050049,0.461173415184021,0.5657825469970703,0.10460913181304932,False
32,0.5515401363372803,0.552312433719635,0.0007722973823547363,0.43513593077659607,0.42062145471572876,0.01451447606086731,0.437318354845047,0.3986477851867676,0.03867056965827942,False
33,0.5641313195228577,0.5667816400527954,0.002650320529937744,0.42494258284568787,0.40636739134788513,0.018575191497802734,0.45194947719573975,0.40487435460090637,0.047075122594833374,False
