Runs,Fault Location (SVI),Fault Location (True),Fault Location (RMSE),Z_fault_real (SVI),Z_fault_real (True),Z_fault_real RMSE,Z_fault_imag (SVI),Z_fault_imag (True),Z_fault_imag RMSE
1,0.6448156833648682,0.5916216373443604,0.05319404602050781,0.5034672021865845,0.5311282873153687,0.02766108512878418,0.4336651861667633,0.45853307843208313,0.024867892265319824
2,0.5460502505302429,0.4971909821033478,0.04885926842689514,0.2993539273738861,0.30653178691864014,0.007177859544754028,0.7204241752624512,0.6873583793640137,0.0330657958984375
3,0.5150926113128662,0.5255369544029236,0.010444343090057373,0.6984167098999023,0.7304494380950928,0.03203272819519043,0.5188941955566406,0.7138644456863403,0.1949702501296997
4,0.4412371516227722,0.4833904504776001,0.04215329885482788,0.5924009084701538,0.6068834662437439,0.014482557773590088,0.42915427684783936,0.5970927476882935,0.1679384708404541
5,0.5070723295211792,0.5597627758979797,0.05269044637680054,0.620363175868988,0.5212404727935791,0.09912270307540894,0.5386264324188232,0.8252137899398804,0.28658735752105713
6,0.5175033807754517,0.5058714151382446,0.011631965637207031,0.49595117568969727,0.5740432739257812,0.07809209823608398,0.53397536277771,0.6734670996665955,0.1394917368888855
7,0.5000593066215515,0.4343370795249939,0.06572222709655762,0.5734972953796387,0.6919940710067749,0.11849677562713623,0.57590651512146,0.7411132454872131,0.16520673036575317
8,0.5340248346328735,0.5526477098464966,0.018622875213623047,0.4709842801094055,0.5599036812782288,0.08891940116882324,0.38873690366744995,0.3810531795024872,0.0076837241649627686
9,0.7407764196395874,0.7044554948806763,0.03632092475891113,0.6929665207862854,0.713542103767395,0.02057558298110962,0.5184280276298523,0.4560140371322632,0.06241399049758911
10,0.4510565996170044,0.4494110941886902,0.001645505428314209,0.29322558641433716,0.27276715636253357,0.02045843005180359,0.36375629901885986,0.25039130449295044,0.11336499452590942
11,0.624557375907898,0.610593855381012,0.013963520526885986,0.4179929494857788,0.4634818434715271,0.04548889398574829,0.5892816781997681,0.628710925579071,0.03942924737930298
12,0.6999321579933167,0.7615042924880981,0.061572134494781494,0.5960574150085449,0.4991503953933716,0.09690701961517334,0.5311859846115112,0.5339658856391907,0.0027799010276794434
13,0.595289945602417,0.5855393409729004,0.009750604629516602,0.5731478929519653,0.5503504872322083,0.02279740571975708,0.5329668521881104,0.7245625853538513,0.19159573316574097
14,0.2585268020629883,0.28098824620246887,0.02246144413948059,0.3924603760242462,0.41123080253601074,0.018770426511764526,0.3806191086769104,0.4390009641647339,0.058381855487823486
15,0.5692043304443359,0.5438079833984375,0.025396347045898438,0.6678956747055054,0.6355285048484802,0.032367169857025146,0.4852064847946167,0.4988931119441986,0.01368662714958191
16,0.33989959955215454,0.32747676968574524,0.012422829866409302,0.5644041299819946,0.5857412219047546,0.02133709192276001,0.43552473187446594,0.31449463963508606,0.12103009223937988
17,0.7306885719299316,0.7235437035560608,0.00714486837387085,0.41094890236854553,0.44628486037254333,0.0353359580039978,0.42174726724624634,0.3056659698486328,0.11608129739761353
