parameter,q_mean_normalized,true_normalized,error
load_1.C_m_leak,0.24880148470401764,0.25,-0.0011985152959823608
load_20.C_m_leak,0.25461655855178833,0.25,0.00461655855178833
load_0.C_m_leak,0.26286616921424866,0.25,0.012866169214248657
load_11.C_m_leak,0.35345277190208435,0.25,0.10345277190208435
load_9.C_m_leak,0.2116180956363678,0.25,-0.0383819043636322
load_2.C_leak,0.25420570373535156,0.25,0.0042057037353515625
load_3.C_m_leak,0.17296013236045837,0.25,-0.07703986763954163
load_15.C_m_leak,0.22889837622642517,0.25,-0.02110162377357483
load_8.C_m_leak,0.2547856867313385,0.25,0.004785686731338501
load_6.C_m_leak,0.2687799632549286,0.25,0.01877996325492859
load_18.C_m_leak,0.2905697226524353,0.25,0.0405697226524353
load_21.C_leak,0.24971294403076172,0.25,-0.00028705596923828125
l_w_4,0.28851497173309326,0.25,0.03851497173309326
load_2.R_const,0.24376145005226135,0.25,-0.0062385499477386475
l_w_3,0.2514161765575409,0.25,0.0014161765575408936
load_1.C_m,0.3346055746078491,0.25,0.08460557460784912
l_w_1,0.18616165220737457,0.25,-0.06383834779262543
load_13.C_leak,0.18839672207832336,0.25,-0.061603277921676636
load_7.C_d_leak,0.22463755309581757,0.25,-0.025362446904182434
load_14.C_leak,0.27776026725769043,0.25,0.02776026725769043
load_21.R_const,0.30043962597846985,0.25,0.05043962597846985
load_0.C_m,0.1593192219734192,0.25,-0.09068077802658081
load_19.R_const,0.34106290340423584,0.25,0.09106290340423584
load_4.C_d_leak,0.1970408409833908,0.25,-0.05295915901660919
load_16.C_d_leak,0.25422126054763794,0.25,0.0042212605476379395
l_w_25,0.28557586669921875,0.25,0.03557586669921875
load_20.C_m,0.29052314162254333,0.25,0.040523141622543335
load_10.C_d_leak,0.2520480453968048,0.25,0.0020480453968048096
l_w_28,0.2745787501335144,0.25,0.024578750133514404
load_19.C_leak,0.2786611020565033,0.25,0.028661102056503296
l_w_27,0.1731942594051361,0.25,-0.07680574059486389
load_11.C_m,0.39204493165016174,0.25,0.14204493165016174
load_5.R_const,0.297724187374115,0.25,0.04772418737411499
load_17.R_const,0.22556188702583313,0.25,-0.02443811297416687
load_9.C_m,0.32501524686813354,0.25,0.07501524686813354
load_12.C_leak,0.27098244428634644,0.25,0.020982444286346436
l_w_14,0.22490164637565613,0.25,-0.025098353624343872
l_w_9,0.08397035300731659,0.25,-0.1660296469926834
l_w_24,0.17506137490272522,0.25,-0.07493862509727478
l_w_19,0.3392643332481384,0.25,0.08926433324813843
load_12.R_const,0.23096126317977905,0.25,-0.019038736820220947
load_3.C_m,0.2046518176794052,0.25,-0.04534818232059479
load_15.C_m,0.22519442439079285,0.25,-0.024805575609207153
load_8.C_m,0.33789849281311035,0.25,0.08789849281311035
l_w_0,0.2905578017234802,0.25,0.040557801723480225
l_w_2,0.1908872425556183,0.25,-0.059112757444381714
load_14.R_const,0.5524607300758362,0.25,0.3024607300758362
load_13.R_const,0.555605411529541,0.25,0.305605411529541
load_5.C_leak,0.23400045931339264,0.25,-0.01599954068660736
load_17.C_leak,0.28569912910461426,0.25,0.03569912910461426
load_6.C_m,0.3072149157524109,0.25,0.05721491575241089
load_18.C_m,0.32146716117858887,0.25,0.07146716117858887
l_w_18,0.3270624876022339,0.25,0.07706248760223389
l_w_16,0.47802019119262695,0.25,0.22802019119262695
l_w_11,0.19709505140781403,0.25,-0.052904948592185974
l_w_8,0.12256185710430145,0.25,-0.12743814289569855
l_w_23,0.2273128479719162,0.25,-0.0226871520280838
l_w_13,0.3911503255367279,0.25,0.1411503255367279
l_w_6,0.16531558334827423,0.25,-0.08468441665172577
l_w_21,0.35167086124420166,0.25,0.10167086124420166
load_1.R_m1,0.22804072499275208,0.25,-0.021959275007247925
l_w_29,0.27686166763305664,0.25,0.02686166763305664
load_11.R_m1,0.0992809310555458,0.25,-0.1507190689444542
load_0.R_m1,0.37449532747268677,0.25,0.12449532747268677
load_9.R_m1,0.3874173164367676,0.25,0.13741731643676758
l_w_10,0.46789029240608215,0.25,0.21789029240608215
load_3.R_m1,0.08113078027963638,0.25,-0.16886921972036362
load_15.R_m1,0.21687611937522888,0.25,-0.03312388062477112
l_w_15,0.33711233735084534,0.25,0.08711233735084534
l_w_12,0.22558996081352234,0.25,-0.02441003918647766
load_20.R_m1,0.407587468624115,0.25,0.157587468624115
l_w_5,0.6735275983810425,0.25,0.4235275983810425
l_w_20,0.23751112818717957,0.25,-0.012488871812820435
load_6.R_m1,0.09130706638097763,0.25,-0.15869293361902237
load_18.R_m1,0.15174327790737152,0.25,-0.09825672209262848
load_8.R_m1,0.27711817622184753,0.25,0.027118176221847534
l_w_17,0.31494140625,0.25,0.06494140625
load_7.omega_0s,0.4674447476863861,0.25,0.2174447476863861
load_10.omega_0s,0.33284643292427063,0.25,0.08284643292427063
load_10.R_s,0.4867042601108551,0.25,0.2367042601108551
load_7.R_s,0.47240105271339417,0.25,0.22240105271339417
load_10.zeta_s,0.5065372586250305,0.25,0.2565372586250305
load_4.omega_0s,0.38918226957321167,0.25,0.13918226957321167
load_16.omega_0s,0.3893511891365051,0.25,0.13935118913650513
l_w_26,0.23406048119068146,0.25,-0.015939518809318542
load_7.zeta_s,0.45889919996261597,0.25,0.20889919996261597
load_3.L_m,0.24226626753807068,0.25,-0.007733732461929321
load_15.L_m,0.2502223253250122,0.25,0.00022232532501220703
load_1.L_m,0.22879810631275177,0.25,-0.02120189368724823
load_11.L_m,0.2684037387371063,0.25,0.018403738737106323
load_9.L_m,0.26396340131759644,0.25,0.013963401317596436
load_4.R_s,0.5257189273834229,0.25,0.27571892738342285
