parameter,q_mean_normalized,true_normalized,error
load_1.C_m_leak,0.22107543051242828,0.25,-0.028924569487571716
load_20.C_m_leak,0.24835652112960815,0.25,-0.0016434788703918457
load_0.C_m_leak,0.24621646106243134,0.25,-0.0037835389375686646
load_11.C_m_leak,0.3019436001777649,0.25,0.05194360017776489
load_9.C_m_leak,0.19801975786685944,0.25,-0.051980242133140564
load_2.C_leak,0.23859959840774536,0.25,-0.011400401592254639
load_3.C_m_leak,0.14840315282344818,0.25,-0.10159684717655182
load_15.C_m_leak,0.2782910466194153,0.25,0.028291046619415283
load_8.C_m_leak,0.24265621602535248,0.25,-0.007343783974647522
load_6.C_m_leak,0.24877983331680298,0.25,-0.0012201666831970215
load_18.C_m_leak,0.2342962920665741,0.25,-0.015703707933425903
load_21.C_leak,0.24885070323944092,0.25,-0.001149296760559082
l_w_4,0.2697853446006775,0.25,0.01978534460067749
load_2.R_const,0.2583703100681305,0.25,0.008370310068130493
l_w_3,0.27613958716392517,0.25,0.02613958716392517
load_1.C_m,0.39168310165405273,0.25,0.14168310165405273
l_w_1,0.20884598791599274,0.25,-0.04115401208400726
load_13.C_leak,0.16262345016002655,0.25,-0.08737654983997345
load_7.C_d_leak,0.24007785320281982,0.25,-0.009922146797180176
load_14.C_leak,0.3147921562194824,0.25,0.06479215621948242
load_21.R_const,0.269612193107605,0.25,0.01961219310760498
load_0.C_m,0.27792391180992126,0.25,0.027923911809921265
load_19.R_const,0.32098567485809326,0.25,0.07098567485809326
load_4.C_d_leak,0.20326381921768188,0.25,-0.046736180782318115
load_16.C_d_leak,0.24070338904857635,0.25,-0.009296610951423645
l_w_25,0.249636709690094,0.25,-0.00036329030990600586
load_20.C_m,0.2640354037284851,0.25,0.014035403728485107
load_10.C_d_leak,0.24218598008155823,0.25,-0.007814019918441772
l_w_28,0.2423797845840454,0.25,-0.00762021541595459
load_19.C_leak,0.2745691239833832,0.25,0.02456912398338318
l_w_27,0.2751748263835907,0.25,0.025174826383590698
load_11.C_m,0.4039360284805298,0.25,0.15393602848052979
load_5.R_const,0.2676191031932831,0.25,0.01761910319328308
load_17.R_const,0.41217923164367676,0.25,0.16217923164367676
load_9.C_m,0.3940066993236542,0.25,0.14400669932365417
load_12.C_leak,0.2776802182197571,0.25,0.02768021821975708
l_w_14,0.202022522687912,0.25,-0.04797747731208801
l_w_9,0.10435038805007935,0.25,-0.14564961194992065
l_w_24,0.24160157144069672,0.25,-0.008398428559303284
l_w_19,0.3611255884170532,0.25,0.11112558841705322
load_12.R_const,0.2695995569229126,0.25,0.019599556922912598
load_3.C_m,0.30356866121292114,0.25,0.05356866121292114
load_15.C_m,0.36030906438827515,0.25,0.11030906438827515
load_8.C_m,0.4671890437602997,0.25,0.21718904376029968
l_w_0,0.22202205657958984,0.25,-0.027977943420410156
l_w_2,0.2993685007095337,0.25,0.04936850070953369
load_14.R_const,0.246698796749115,0.25,-0.0033012032508850098
load_13.R_const,0.2504008710384369,0.25,0.00040087103843688965
load_5.C_leak,0.3331202268600464,0.25,0.08312022686004639
load_17.C_leak,0.28012871742248535,0.25,0.03012871742248535
load_6.C_m,0.3513469398021698,0.25,0.1013469398021698
load_18.C_m,0.3417540192604065,0.25,0.0917540192604065
l_w_18,0.3761748969554901,0.25,0.1261748969554901
l_w_16,0.40600430965423584,0.25,0.15600430965423584
l_w_11,0.2446865290403366,0.25,-0.005313470959663391
l_w_8,0.13473518192768097,0.25,-0.11526481807231903
l_w_23,0.22583532333374023,0.25,-0.024164676666259766
l_w_13,0.30463945865631104,0.25,0.054639458656311035
l_w_6,0.1506083905696869,0.25,-0.09939160943031311
l_w_21,0.3061366081237793,0.25,0.0561366081237793
load_1.R_m1,0.28343525528907776,0.25,0.03343525528907776
l_w_29,0.3435373902320862,0.25,0.09353739023208618
load_11.R_m1,0.24532198905944824,0.25,-0.004678010940551758
load_0.R_m1,0.41418296098709106,0.25,0.16418296098709106
load_9.R_m1,0.4267723560333252,0.25,0.1767723560333252
l_w_10,0.4793482720851898,0.25,0.22934827208518982
load_3.R_m1,0.22689403593540192,0.25,-0.023105964064598083
load_15.R_m1,0.08801621943712234,0.25,-0.16198378056287766
l_w_15,0.4221594035625458,0.25,0.17215940356254578
l_w_12,0.3462398946285248,0.25,0.09623989462852478
load_20.R_m1,0.4013654589653015,0.25,0.1513654589653015
l_w_5,0.557556688785553,0.25,0.307556688785553
l_w_20,0.3459993004798889,0.25,0.09599930047988892
load_6.R_m1,0.2890702486038208,0.25,0.0390702486038208
load_18.R_m1,0.24342314898967743,0.25,-0.006576851010322571
load_8.R_m1,0.39711126685142517,0.25,0.14711126685142517
l_w_17,0.4344910979270935,0.25,0.1844910979270935
load_7.omega_0s,0.4999125599861145,0.25,0.2499125599861145
load_10.omega_0s,0.4624843895435333,0.25,0.21248438954353333
load_10.R_s,0.5096182227134705,0.25,0.25961822271347046
load_7.R_s,0.5040643215179443,0.25,0.25406432151794434
load_10.zeta_s,0.49763134121894836,0.25,0.24763134121894836
load_4.omega_0s,0.4494181275367737,0.25,0.19941812753677368
load_16.omega_0s,0.47791463136672974,0.25,0.22791463136672974
l_w_26,0.4678807258605957,0.25,0.2178807258605957
load_7.zeta_s,0.5029805898666382,0.25,0.2529805898666382
load_3.L_m,0.4652732014656067,0.25,0.2152732014656067
load_15.L_m,0.4596770405769348,0.25,0.20967704057693481
load_1.L_m,0.4555894732475281,0.25,0.20558947324752808
load_11.L_m,0.47261911630630493,0.25,0.22261911630630493
load_9.L_m,0.4591410458087921,0.25,0.20914104580879211
load_4.R_s,0.5260925889015198,0.25,0.2760925889015198
load_16.R_s,0.5008737444877625,0.25,0.25087374448776245
load_6.L_m,0.4607555866241455,0.25,0.2107555866241455
load_18.L_m,0.45368692278862,0.25,0.20368692278862
load_8.L_m,0.4568503201007843,0.25,0.2068503201007843
load_0.L_m,0.41694873571395874,0.25,0.16694873571395874
load_4.zeta_s,0.5009521245956421,0.25,0.2509521245956421
load_16.zeta_s,0.5253463387489319,0.25,0.2753463387489319
l_w_7,0.4741727113723755,0.25,0.2241727113723755
l_w_22,0.4749211370944977,0.25,0.22492113709449768
